2,"Wisely, and slow. They stumble that run fast"
3,"If you judge people, you have no time to love them"
7,"Whenever you find yourself on the side of the majority, it is time to pause and reflect"
8,"All that we are is the result of what we have thought"
10,"Stay hungry, stay foolish."
11,"The greatest wealth is to live content with little."
12,"The future belongs to those who prepare for it today."
13,"The successful warrior is the average man, with laser-like focus."
15,"My great concern is not whether you have failed, but whether you are content with your failure."
8,Testing
16,"It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God."
